,Items,(Ordered) Frequent Items
10280,"['Yougurt', 'Cheese', 'Milk', 'Panner']","['Milk', 'Yougurt', 'Cheese', 'Panner']"
10281,"['Panner', 'Bread', 'Yougurt']","['Yougurt', 'Bread', 'Panner']"
10282,"['Panner', 'Ghee', 'Sweet', 'Tea Powder', 'Yougurt', 'Bread', 'Milk', 'Lassi']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
10283,"['Yougurt', 'Coffee Powder', 'Tea Powder', 'Bread', 'Butter', 'Ghee', 'Cheese']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Tea Powder']"
10284,"['Bread', 'Ghee', 'Tea Powder', 'Lassi', 'Panner', 'Sugar', 'Milk']","['Milk', 'Ghee', 'Bread', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
10285,"['Ghee', 'Sugar', 'Bread', 'Lassi', 'Milk', 'Yougurt', 'Tea Powder']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sugar', 'Lassi', 'Tea Powder']"
10286,"['Yougurt', 'Milk', 'Butter', 'Cheese', 'Sweet', 'Sugar', 'Ghee', 'Tea Powder']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Tea Powder']"
10287,"['Bread', 'Butter', 'Milk', 'Sugar', 'Panner', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Panner']"
10288,"['Sugar', 'Sweet', 'Cheese', 'Butter']","['Sweet', 'Sugar', 'Butter', 'Cheese']"
10289,"['Milk', 'Cheese', 'Panner', 'Ghee', 'Yougurt', 'Bread']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Cheese', 'Panner']"
10290,"['Sweet', 'Coffee Powder', 'Lassi']","['Coffee Powder', 'Sweet', 'Lassi']"
10291,"['Sweet', 'Coffee Powder', 'Panner', 'Ghee', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Panner']"
10292,"['Milk', 'Sugar', 'Bread', 'Tea Powder', 'Panner']","['Milk', 'Bread', 'Sugar', 'Panner', 'Tea Powder']"
10293,"['Tea Powder', 'Lassi']","['Lassi', 'Tea Powder']"
10294,"['Sugar', 'Ghee', 'Lassi', 'Bread', 'Panner', 'Cheese', 'Butter', 'Tea Powder']","['Ghee', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
10295,"['Butter', 'Bread', 'Sugar', 'Ghee', 'Lassi', 'Sweet', 'Milk']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Lassi']"
10296,"['Ghee', 'Tea Powder']","['Ghee', 'Tea Powder']"
10297,"['Panner', 'Coffee Powder', 'Yougurt', 'Milk', 'Cheese']","['Milk', 'Coffee Powder', 'Yougurt', 'Cheese', 'Panner']"
10298,"['Lassi', 'Cheese', 'Ghee', 'Panner']","['Ghee', 'Cheese', 'Panner', 'Lassi']"
10299,"['Ghee', 'Sweet', 'Milk', 'Cheese', 'Panner', 'Butter', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Butter', 'Cheese', 'Panner']"
10300,"['Sweet', 'Cheese', 'Yougurt', 'Tea Powder']","['Yougurt', 'Sweet', 'Cheese', 'Tea Powder']"
10301,"['Sugar', 'Panner', 'Lassi', 'Sweet', 'Tea Powder', 'Bread', 'Butter']","['Bread', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
10302,"['Cheese', 'Milk', 'Tea Powder', 'Panner', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Cheese', 'Panner', 'Tea Powder']"
10303,"['Coffee Powder', 'Sugar', 'Ghee', 'Panner', 'Lassi', 'Tea Powder', 'Butter']","['Ghee', 'Coffee Powder', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
10304,"['Yougurt', 'Coffee Powder', 'Cheese']","['Coffee Powder', 'Yougurt', 'Cheese']"
10305,"['Cheese', 'Ghee', 'Coffee Powder', 'Butter', 'Sugar', 'Yougurt', 'Bread']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese']"
10306,"['Lassi', 'Tea Powder', 'Yougurt', 'Cheese']","['Yougurt', 'Cheese', 'Lassi', 'Tea Powder']"
10307,"['Coffee Powder', 'Bread', 'Yougurt', 'Panner', 'Sweet', 'Sugar', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Panner']"
10308,"['Panner', 'Ghee', 'Bread']","['Ghee', 'Bread', 'Panner']"
10309,"['Sugar', 'Butter', 'Bread', 'Yougurt', 'Coffee Powder', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter']"
10310,"['Tea Powder', 'Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Tea Powder']"
10311,"['Bread', 'Sugar', 'Butter', 'Coffee Powder', 'Ghee', 'Panner', 'Sweet']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
10312,"['Bread', 'Sweet', 'Tea Powder', 'Yougurt', 'Lassi', 'Sugar', 'Cheese']","['Yougurt', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
10313,"['Tea Powder', 'Butter', 'Panner', 'Yougurt']","['Yougurt', 'Butter', 'Panner', 'Tea Powder']"
10314,"['Coffee Powder', 'Milk']","['Milk', 'Coffee Powder']"
10315,"['Tea Powder', 'Sweet']","['Sweet', 'Tea Powder']"
10316,"['Lassi', 'Ghee', 'Sweet', 'Coffee Powder', 'Tea Powder', 'Sugar', 'Cheese', 'Bread', 'Panner']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
10317,"['Sugar', 'Cheese', 'Lassi', 'Tea Powder', 'Bread', 'Ghee', 'Yougurt', 'Milk', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
10318,"['Yougurt', 'Ghee', 'Bread', 'Milk', 'Sweet', 'Sugar', 'Lassi', 'Butter', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Lassi']"
10319,"['Sweet', 'Panner', 'Cheese', 'Sugar', 'Yougurt', 'Milk', 'Tea Powder']","['Milk', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
10320,"['Yougurt', 'Panner', 'Butter', 'Bread']","['Yougurt', 'Bread', 'Butter', 'Panner']"
10321,"['Lassi', 'Milk', 'Sweet', 'Sugar', 'Cheese', 'Tea Powder']","['Milk', 'Sweet', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
10322,"['Yougurt', 'Lassi', 'Panner', 'Bread', 'Sugar', 'Coffee Powder']","['Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Panner', 'Lassi']"
10323,"['Lassi', 'Panner', 'Butter', 'Bread', 'Sweet', 'Coffee Powder']","['Coffee Powder', 'Bread', 'Sweet', 'Butter', 'Panner', 'Lassi']"
10324,"['Lassi', 'Milk', 'Coffee Powder', 'Butter', 'Ghee', 'Panner']","['Milk', 'Ghee', 'Coffee Powder', 'Butter', 'Panner', 'Lassi']"
10325,"['Panner', 'Ghee', 'Coffee Powder', 'Tea Powder', 'Sugar', 'Butter', 'Sweet']","['Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Tea Powder']"
10326,"['Ghee', 'Butter']","['Ghee', 'Butter']"
10327,"['Yougurt', 'Cheese', 'Panner', 'Bread', 'Sugar', 'Milk', 'Tea Powder', 'Lassi', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
10328,"['Cheese', 'Sugar', 'Milk', 'Butter', 'Coffee Powder', 'Sweet', 'Tea Powder']","['Milk', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Tea Powder']"
10329,"['Cheese', 'Yougurt', 'Coffee Powder', 'Ghee', 'Milk', 'Sugar', 'Panner']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Panner']"
10330,"['Lassi', 'Panner', 'Coffee Powder', 'Sugar', 'Sweet']","['Coffee Powder', 'Sweet', 'Sugar', 'Panner', 'Lassi']"
10331,"['Yougurt', 'Tea Powder', 'Panner', 'Sugar']","['Yougurt', 'Sugar', 'Panner', 'Tea Powder']"
10332,"['Tea Powder', 'Cheese', 'Sugar', 'Bread']","['Bread', 'Sugar', 'Cheese', 'Tea Powder']"
10333,"['Milk', 'Coffee Powder', 'Bread']","['Milk', 'Coffee Powder', 'Bread']"
10334,"['Panner', 'Bread', 'Yougurt', 'Milk', 'Butter', 'Lassi']","['Milk', 'Yougurt', 'Bread', 'Butter', 'Panner', 'Lassi']"
10335,"['Tea Powder', 'Sugar', 'Bread', 'Lassi', 'Milk', 'Sweet']","['Milk', 'Bread', 'Sweet', 'Sugar', 'Lassi', 'Tea Powder']"
10336,"['Ghee', 'Sugar', 'Coffee Powder', 'Panner', 'Bread', 'Cheese']","['Ghee', 'Coffee Powder', 'Bread', 'Sugar', 'Cheese', 'Panner']"
10337,"['Sweet', 'Butter', 'Milk', 'Cheese']","['Milk', 'Sweet', 'Butter', 'Cheese']"
10338,"['Cheese', 'Coffee Powder', 'Ghee', 'Panner', 'Sugar', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Sugar', 'Cheese', 'Panner']"
10339,"['Coffee Powder', 'Ghee', 'Lassi', 'Sugar', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Sugar', 'Lassi']"
10340,"['Butter', 'Tea Powder', 'Lassi']","['Butter', 'Lassi', 'Tea Powder']"
10341,"['Butter', 'Yougurt', 'Sugar', 'Tea Powder']","['Yougurt', 'Sugar', 'Butter', 'Tea Powder']"
10342,"['Panner', 'Milk', 'Tea Powder', 'Coffee Powder', 'Yougurt', 'Ghee', 'Butter', 'Sweet', 'Cheese']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
10343,"['Tea Powder', 'Panner', 'Lassi', 'Milk', 'Yougurt', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Panner', 'Lassi', 'Tea Powder']"
10344,"['Lassi', 'Milk', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Lassi']"
10345,"['Butter', 'Ghee', 'Bread', 'Yougurt', 'Tea Powder']","['Ghee', 'Yougurt', 'Bread', 'Butter', 'Tea Powder']"
10346,"['Sugar', 'Sweet', 'Milk', 'Yougurt', 'Cheese', 'Coffee Powder', 'Ghee', 'Tea Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Tea Powder']"
10347,"['Butter', 'Panner', 'Cheese', 'Milk', 'Sugar', 'Sweet']","['Milk', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
10348,"['Milk', 'Sugar', 'Yougurt', 'Cheese', 'Bread', 'Coffee Powder', 'Panner', 'Sweet']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Panner']"
10349,"['Cheese', 'Sweet', 'Ghee', 'Tea Powder', 'Bread', 'Sugar']","['Ghee', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Tea Powder']"
10350,"['Butter', 'Yougurt', 'Ghee']","['Ghee', 'Yougurt', 'Butter']"
10351,"['Lassi', 'Cheese', 'Yougurt', 'Butter', 'Bread', 'Panner']","['Yougurt', 'Bread', 'Butter', 'Cheese', 'Panner', 'Lassi']"
10352,"['Lassi', 'Panner', 'Tea Powder', 'Bread', 'Ghee', 'Milk', 'Cheese']","['Milk', 'Ghee', 'Bread', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
10353,"['Coffee Powder', 'Lassi']","['Coffee Powder', 'Lassi']"
10354,"['Coffee Powder', 'Butter']","['Coffee Powder', 'Butter']"
10355,"['Milk', 'Ghee', 'Tea Powder']","['Milk', 'Ghee', 'Tea Powder']"
10356,"['Yougurt', 'Ghee', 'Cheese', 'Milk', 'Lassi', 'Tea Powder', 'Bread', 'Sweet', 'Sugar']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
10357,"['Bread', 'Sugar', 'Yougurt', 'Milk', 'Butter']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Butter']"
10358,"['Sweet', 'Yougurt', 'Ghee', 'Panner']","['Ghee', 'Yougurt', 'Sweet', 'Panner']"
10359,"['Milk', 'Sugar', 'Lassi', 'Yougurt', 'Ghee', 'Panner', 'Coffee Powder', 'Tea Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
10360,"['Cheese', 'Yougurt', 'Tea Powder', 'Milk', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Yougurt', 'Cheese', 'Tea Powder']"
10361,"['Butter', 'Milk', 'Yougurt', 'Coffee Powder', 'Ghee', 'Cheese']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Butter', 'Cheese']"
10362,"['Milk', 'Sugar', 'Cheese', 'Bread', 'Coffee Powder', 'Panner', 'Butter']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner']"
10363,"['Sugar', 'Panner', 'Tea Powder']","['Sugar', 'Panner', 'Tea Powder']"
10364,"['Lassi', 'Sweet', 'Coffee Powder', 'Sugar', 'Panner', 'Cheese', 'Bread']","['Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
10365,"['Yougurt', 'Tea Powder', 'Ghee', 'Panner', 'Lassi']","['Ghee', 'Yougurt', 'Panner', 'Lassi', 'Tea Powder']"
10366,"['Cheese', 'Sugar', 'Coffee Powder']","['Coffee Powder', 'Sugar', 'Cheese']"
10367,"['Yougurt', 'Sugar']","['Yougurt', 'Sugar']"
10368,"['Butter', 'Coffee Powder', 'Milk', 'Cheese']","['Milk', 'Coffee Powder', 'Butter', 'Cheese']"
10369,"['Lassi', 'Tea Powder']","['Lassi', 'Tea Powder']"
10370,"['Lassi', 'Yougurt', 'Cheese', 'Sweet']","['Yougurt', 'Sweet', 'Cheese', 'Lassi']"
10371,"['Tea Powder', 'Milk', 'Bread', 'Coffee Powder', 'Ghee', 'Cheese']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Cheese', 'Tea Powder']"
10372,"['Coffee Powder', 'Sugar', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Sugar']"
10373,"['Ghee', 'Sweet', 'Yougurt', 'Bread', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet']"
10374,"['Yougurt', 'Bread']","['Yougurt', 'Bread']"
10375,"['Panner', 'Butter', 'Coffee Powder', 'Bread', 'Sugar', 'Cheese']","['Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner']"
10376,"['Sugar', 'Lassi', 'Yougurt', 'Panner', 'Ghee', 'Butter', 'Tea Powder', 'Sweet']","['Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
10377,"['Butter', 'Coffee Powder']","['Coffee Powder', 'Butter']"
10378,"['Tea Powder', 'Ghee', 'Lassi', 'Yougurt', 'Sugar', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Lassi', 'Tea Powder']"
10379,"['Milk', 'Sugar', 'Butter', 'Coffee Powder', 'Ghee', 'Cheese']","['Milk', 'Ghee', 'Coffee Powder', 'Sugar', 'Butter', 'Cheese']"
10380,"['Butter', 'Milk', 'Lassi', 'Sugar', 'Panner']","['Milk', 'Sugar', 'Butter', 'Panner', 'Lassi']"
10381,"['Coffee Powder', 'Ghee', 'Panner', 'Cheese', 'Bread']","['Ghee', 'Coffee Powder', 'Bread', 'Cheese', 'Panner']"
10382,"['Lassi', 'Butter', 'Milk', 'Tea Powder', 'Coffee Powder', 'Sugar', 'Cheese']","['Milk', 'Coffee Powder', 'Sugar', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
10383,"['Milk', 'Bread', 'Yougurt', 'Lassi', 'Sugar', 'Cheese']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Lassi']"
10384,"['Bread', 'Butter', 'Ghee', 'Panner']","['Ghee', 'Bread', 'Butter', 'Panner']"
10385,"['Sugar', 'Panner', 'Yougurt', 'Butter', 'Milk', 'Ghee', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Butter', 'Panner']"
10386,"['Tea Powder', 'Sugar', 'Lassi', 'Bread']","['Bread', 'Sugar', 'Lassi', 'Tea Powder']"
10387,"['Sweet', 'Bread', 'Yougurt']","['Yougurt', 'Bread', 'Sweet']"
10388,"['Coffee Powder', 'Yougurt', 'Panner', 'Sweet', 'Butter', 'Cheese', 'Ghee', 'Sugar']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
10389,"['Milk', 'Panner', 'Butter', 'Yougurt', 'Sugar', 'Cheese']","['Milk', 'Yougurt', 'Sugar', 'Butter', 'Cheese', 'Panner']"
10390,"['Butter', 'Yougurt', 'Sweet', 'Tea Powder', 'Milk']","['Milk', 'Yougurt', 'Sweet', 'Butter', 'Tea Powder']"
10391,"['Butter', 'Ghee', 'Coffee Powder', 'Lassi', 'Panner', 'Cheese']","['Ghee', 'Coffee Powder', 'Butter', 'Cheese', 'Panner', 'Lassi']"
10392,"['Tea Powder', 'Butter', 'Lassi']","['Butter', 'Lassi', 'Tea Powder']"
10393,"['Tea Powder', 'Sugar', 'Panner', 'Sweet', 'Lassi', 'Butter']","['Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
10394,"['Butter', 'Tea Powder', 'Coffee Powder', 'Cheese']","['Coffee Powder', 'Butter', 'Cheese', 'Tea Powder']"
10395,"['Lassi', 'Tea Powder', 'Milk', 'Yougurt', 'Panner', 'Butter']","['Milk', 'Yougurt', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
10396,"['Bread', 'Sugar', 'Tea Powder', 'Coffee Powder', 'Lassi']","['Coffee Powder', 'Bread', 'Sugar', 'Lassi', 'Tea Powder']"
10397,"['Sugar', 'Milk', 'Panner', 'Coffee Powder', 'Yougurt']","['Milk', 'Coffee Powder', 'Yougurt', 'Sugar', 'Panner']"
10398,"['Lassi', 'Yougurt', 'Milk']","['Milk', 'Yougurt', 'Lassi']"
10399,"['Sweet', 'Panner', 'Sugar', 'Butter', 'Yougurt', 'Coffee Powder', 'Bread', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
10400,"['Ghee', 'Lassi', 'Coffee Powder', 'Tea Powder', 'Butter', 'Bread', 'Sweet']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Butter', 'Lassi', 'Tea Powder']"
10401,"['Bread', 'Coffee Powder', 'Milk', 'Tea Powder', 'Ghee', 'Lassi', 'Sugar', 'Panner']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
10402,"['Sugar', 'Lassi', 'Bread', 'Sweet', 'Tea Powder']","['Bread', 'Sweet', 'Sugar', 'Lassi', 'Tea Powder']"
10403,"['Yougurt', 'Cheese', 'Ghee', 'Milk', 'Butter', 'Sweet', 'Bread']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese']"
10404,"['Panner', 'Sweet', 'Cheese', 'Tea Powder', 'Lassi', 'Yougurt', 'Sugar', 'Milk']","['Milk', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
10405,"['Lassi', 'Butter', 'Milk', 'Yougurt']","['Milk', 'Yougurt', 'Butter', 'Lassi']"
10406,"['Bread', 'Sweet']","['Bread', 'Sweet']"
10407,"['Ghee', 'Cheese', 'Bread']","['Ghee', 'Bread', 'Cheese']"
10408,"['Milk', 'Ghee', 'Butter']","['Milk', 'Ghee', 'Butter']"
10409,"['Cheese', 'Coffee Powder', 'Sugar', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Sugar', 'Cheese']"
10410,"['Lassi', 'Ghee', 'Coffee Powder', 'Yougurt', 'Milk', 'Sugar']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Lassi']"
10411,"['Panner', 'Bread', 'Lassi', 'Milk', 'Coffee Powder', 'Sweet', 'Tea Powder']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
10412,"['Yougurt', 'Tea Powder', 'Butter']","['Yougurt', 'Butter', 'Tea Powder']"
10413,"['Cheese', 'Butter']","['Butter', 'Cheese']"
10414,"['Sweet', 'Milk', 'Sugar', 'Cheese', 'Tea Powder']","['Milk', 'Sweet', 'Sugar', 'Cheese', 'Tea Powder']"
10415,"['Ghee', 'Lassi', 'Yougurt', 'Panner']","['Ghee', 'Yougurt', 'Panner', 'Lassi']"
10416,"['Yougurt', 'Sweet', 'Lassi', 'Panner', 'Bread', 'Cheese']","['Yougurt', 'Bread', 'Sweet', 'Cheese', 'Panner', 'Lassi']"
10417,"['Lassi', 'Sugar', 'Butter', 'Coffee Powder', 'Milk']","['Milk', 'Coffee Powder', 'Sugar', 'Butter', 'Lassi']"
10418,"['Sugar', 'Ghee', 'Bread', 'Butter', 'Sweet', 'Panner']","['Ghee', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
10419,"['Milk', 'Yougurt', 'Ghee', 'Lassi', 'Butter', 'Tea Powder', 'Panner']","['Milk', 'Ghee', 'Yougurt', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
10420,"['Bread', 'Sugar', 'Yougurt', 'Coffee Powder', 'Cheese', 'Tea Powder', 'Panner', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
10421,"['Milk', 'Lassi', 'Butter', 'Ghee']","['Milk', 'Ghee', 'Butter', 'Lassi']"
10422,"['Milk', 'Lassi', 'Yougurt', 'Coffee Powder', 'Sweet', 'Cheese', 'Sugar']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Lassi']"
10423,"['Butter', 'Milk', 'Bread', 'Coffee Powder', 'Tea Powder', 'Ghee', 'Cheese']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Tea Powder']"
10424,"['Butter', 'Panner']","['Butter', 'Panner']"
10425,"['Sugar', 'Coffee Powder', 'Lassi', 'Tea Powder', 'Ghee']","['Ghee', 'Coffee Powder', 'Sugar', 'Lassi', 'Tea Powder']"
10426,"['Yougurt', 'Butter', 'Milk', 'Ghee', 'Coffee Powder', 'Tea Powder', 'Cheese']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Butter', 'Cheese', 'Tea Powder']"
10427,"['Lassi', 'Ghee']","['Ghee', 'Lassi']"
10428,"['Yougurt', 'Ghee', 'Coffee Powder', 'Cheese', 'Sweet', 'Panner', 'Bread']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Cheese', 'Panner']"
10429,"['Sweet', 'Sugar']","['Sweet', 'Sugar']"
10430,"['Sugar', 'Butter']","['Sugar', 'Butter']"
10431,"['Sugar', 'Tea Powder', 'Ghee', 'Coffee Powder', 'Yougurt', 'Lassi']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Lassi', 'Tea Powder']"
10432,"['Lassi', 'Sugar', 'Yougurt', 'Cheese', 'Bread', 'Tea Powder', 'Milk']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
10433,"['Butter', 'Lassi', 'Panner', 'Ghee', 'Bread', 'Milk', 'Sugar', 'Coffee Powder', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Panner', 'Lassi']"
10434,"['Lassi', 'Sweet']","['Sweet', 'Lassi']"
10435,"['Yougurt', 'Cheese', 'Lassi', 'Milk', 'Ghee', 'Sugar', 'Panner', 'Butter']","['Milk', 'Ghee', 'Yougurt', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi']"
10436,"['Sugar', 'Lassi', 'Tea Powder', 'Panner']","['Sugar', 'Panner', 'Lassi', 'Tea Powder']"
10437,"['Milk', 'Yougurt', 'Bread']","['Milk', 'Yougurt', 'Bread']"
10438,"['Bread', 'Tea Powder', 'Coffee Powder']","['Coffee Powder', 'Bread', 'Tea Powder']"
10439,"['Sweet', 'Sugar', 'Coffee Powder', 'Ghee', 'Bread', 'Cheese']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Cheese']"
10440,"['Tea Powder', 'Yougurt']","['Yougurt', 'Tea Powder']"
10441,"['Bread', 'Sweet', 'Butter', 'Coffee Powder', 'Yougurt', 'Panner', 'Ghee']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Panner']"
10442,"['Panner', 'Coffee Powder', 'Butter', 'Sweet', 'Yougurt', 'Sugar', 'Cheese']","['Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Panner']"
10443,"['Milk', 'Sugar', 'Sweet', 'Ghee']","['Milk', 'Ghee', 'Sweet', 'Sugar']"
10444,"['Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder']"
10445,"['Panner', 'Coffee Powder', 'Ghee']","['Ghee', 'Coffee Powder', 'Panner']"
10446,"['Lassi', 'Coffee Powder', 'Sugar', 'Yougurt', 'Tea Powder', 'Milk', 'Bread']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Lassi', 'Tea Powder']"
10447,"['Bread', 'Sweet']","['Bread', 'Sweet']"
10448,"['Lassi', 'Milk', 'Tea Powder']","['Milk', 'Lassi', 'Tea Powder']"
10449,"['Sweet', 'Bread', 'Yougurt']","['Yougurt', 'Bread', 'Sweet']"
10450,"['Lassi', 'Cheese', 'Coffee Powder', 'Sweet']","['Coffee Powder', 'Sweet', 'Cheese', 'Lassi']"
10451,"['Bread', 'Coffee Powder', 'Cheese', 'Sweet', 'Yougurt', 'Milk', 'Butter']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese']"
10452,"['Lassi', 'Butter', 'Bread', 'Sweet']","['Bread', 'Sweet', 'Butter', 'Lassi']"
10453,"['Bread', 'Butter']","['Bread', 'Butter']"
10454,"['Bread', 'Cheese', 'Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Bread', 'Cheese']"
10455,"['Coffee Powder', 'Sweet', 'Panner', 'Bread', 'Lassi', 'Sugar', 'Cheese']","['Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
10456,"['Yougurt', 'Sugar', 'Lassi', 'Milk', 'Sweet']","['Milk', 'Yougurt', 'Sweet', 'Sugar', 'Lassi']"
